fixture_id,run_type,attempt_id,baseline_commit,product_sha256,prompt_sha256,generated_background_sha256,final_composite_sha256,resolved_width,resolved_height,background_quality,classic_md3_adherence,palette_harmony,safe_zone_cleanliness,sku_composition_consistency,unwanted_product_copying,product_like_geometry,accidental_text_or_logo,unexpected_physical_environment,notes
light-product,MASTER,,128d8b2f1197f1a17aed34a61c82ac5fc6284736,81e346870c3c2cc5d49c2db4dd21bc409f9943f6bcae3341b8dbe383d356386d,,,,,,,,,,,,,,,INPUT_FROZEN; visual run pending validated reference-image binding
dark-product,MASTER,,128d8b2f1197f1a17aed34a61c82ac5fc6284736,d2bdf1d36c6bc61ccf9186d84c8ade866bee9b263a181100f702daa1a36117c7,,,,,,,,,,,,,,,INPUT_FROZEN; visual run pending validated reference-image binding
saturated-product,MASTER,,128d8b2f1197f1a17aed34a61c82ac5fc6284736,41b8e6929bf04a6de48cbc5d7143a00e29d79eb1113e1637bda343d7221357fa,,,,,,,,,,,,,,,INPUT_FROZEN; visual run pending validated reference-image binding
low-saturation-product,MASTER,,128d8b2f1197f1a17aed34a61c82ac5fc6284736,c46ec1f028deaba7935c39cd40a5d1301f05a1370962e3548cb5fef2dac79969,,,,,,,,,,,,,,,INPUT_FROZEN; visual run pending validated reference-image binding
wide-product,MASTER,,128d8b2f1197f1a17aed34a61c82ac5fc6284736,255b899b176bd78d655b64b1f01d76f65ceac4eafcf32135873d09857c2e9558,,,,,,,,,,,,,,,INPUT_FROZEN; visual run pending validated reference-image binding
tall-product,MASTER,,128d8b2f1197f1a17aed34a61c82ac5fc6284736,8cfd6c3fe8bb46da1ab3cc5470cf7c1dde2604b5a4a830e1ed629bc1dd123dd1,,,,,,,,,,,,,,,INPUT_FROZEN; visual run pending validated reference-image binding
multi-dominant-color,MASTER,,128d8b2f1197f1a17aed34a61c82ac5fc6284736,1d6f468a80966f0174cfa5fb78d91130e0866313556ca8bea7cb1379a225f834,,,,,,,,,,,,,,,INPUT_FROZEN; visual run pending validated reference-image binding
light-product,SKU,,128d8b2f1197f1a17aed34a61c82ac5fc6284736,5fc29fd61750f25d567a3d94a261758e288135021d9f440f6402253cb50fb908,,,,,,,,,,,,,,,INPUT_FROZEN; paired geometry unchanged; palette differs; visual run pending validated reference-image binding
dark-product,SKU,,128d8b2f1197f1a17aed34a61c82ac5fc6284736,949364e14993b83620cd7724196c519e4c6b26d1d025476569de8cc832b3a1a3,,,,,,,,,,,,,,,INPUT_FROZEN; paired geometry unchanged; palette differs; visual run pending validated reference-image binding
saturated-product,SKU,,128d8b2f1197f1a17aed34a61c82ac5fc6284736,c13123f41f0ce5350c660789565e3c5d6110aacfc3971f42b3672fbbedf44a7f,,,,,,,,,,,,,,,INPUT_FROZEN; paired geometry unchanged; palette differs; visual run pending validated reference-image binding
low-saturation-product,SKU,,128d8b2f1197f1a17aed34a61c82ac5fc6284736,8edb30b4616e8799f22cf098b8f8112d3e3db0ec525be55855172db88f4085ad,,,,,,,,,,,,,,,INPUT_FROZEN; paired geometry unchanged; palette differs; visual run pending validated reference-image binding
wide-product,SKU,,128d8b2f1197f1a17aed34a61c82ac5fc6284736,a1ef0bd91bcf7ecc64e9d63aa031aacdfa6c255f38e74681580898f1005a9c12,,,,,,,,,,,,,,,INPUT_FROZEN; paired geometry unchanged; palette differs; visual run pending validated reference-image binding
tall-product,SKU,,128d8b2f1197f1a17aed34a61c82ac5fc6284736,bd2c13df0b776a7b18e837dbf13440e9fc0fbbb95d873916e584d6eb5028807f,,,,,,,,,,,,,,,INPUT_FROZEN; paired geometry unchanged; palette differs; visual run pending validated reference-image binding
multi-dominant-color,SKU,,128d8b2f1197f1a17aed34a61c82ac5fc6284736,40ccfa7fe7b6d06d550ce0af3c093bdea86c3371a405eb530c7495777178130e,,,,,,,,,,,,,,,INPUT_FROZEN; paired geometry unchanged; palette differs; visual run pending validated reference-image binding
